panel,method,state,angle_deg,value
"MR-GW(8,6)",DMRG,A_1,122.0,12.111479685615723
"MR-GW(8,6)",DMRG,A_1,126.0,11.929728294562645
"MR-GW(8,6)",DMRG,A_1,130.0,11.743757129589186
"MR-GW(8,6)",DMRG,A_1,134.0,11.55215324481232
"MR-GW(8,6)",DMRG,A_1,138.0,11.354452698924158
"MR-GW(8,6)",DMRG,A_1,142.0,11.153085298355117
"MR-GW(8,6)",DMRG,A_1,146.0,10.947169487109242
"MR-GW(8,6)",DMRG,B_2,90.0,10.983098424454841
"MR-GW(8,6)",DMRG,B_2,94.0,11.374902779053773
"MR-GW(8,6)",DMRG,B_2,98.0,11.699407375698886
"MR-GW(8,6)",DMRG,B_2,102.0,11.966715825267563
"MR-GW(8,6)",DMRG,B_2,106.0,12.185952040827742
"MR-GW(8,6)",DMRG,B_2,110.0,12.364374103441136
"MR-GW(8,6)",DMRG,B_2,114.0,12.507472094852671
"MR-GW(8,6)",DMRG,B_2,118.0,12.620841508415602
"MR-GW(8,6)",DMRG,B_2,122.0,12.708843447900279
"MR-GW(8,6)",DMRG,B_2,126.0,12.769205782973861
"MR-GW(8,6)",DMRG,B_2,130.0,12.810356981636607
"MR-GW(8,6)",DMRG,B_2,134.0,12.832388538170793
"MR-GW(8,6)",DMRG,B_2,138.0,12.834921990682265
"MR-GW(8,6)",DMRG,B_2,142.0,12.821117727428485
"MR-GW(8,6)",DMRG,B_2,146.0,12.787280210016558
"MR-GW(8,6)",DMRG,A_2,90.0,12.877025486653315
"MR-GW(8,6)",DMRG,A_2,94.0,12.985096686195808
"MR-GW(8,6)",DMRG,A_2,98.0,13.077727314166642
"MR-GW(8,6)",DMRG,A_2,102.0,13.156119809581304
"MR-GW(8,6)",DMRG,A_2,106.0,13.22118317627325
"MR-GW(8,6)",DMRG,A_2,110.0,13.27525369538499
"MR-GW(8,6)",DMRG,A_2,114.0,13.315720658515664
"MR-GW(8,6)",DMRG,A_2,118.0,13.347649851746255
"MR-GW(8,6)",DMRG,A_2,122.0,13.37039163007745
"MR-GW(8,6)",DMRG,A_2,126.0,13.385642647825456
"MR-GW(8,6)",DMRG,A_2,130.0,13.393951761624534
"MR-GW(8,6)",DMRG,A_2,134.0,13.395803078682949
"MR-GW(8,6)",DMRG,A_2,138.0,13.390975490924614
"MR-GW(8,6)",DMRG,A_2,142.0,13.379666523993329
"MR-GW(8,6)",DMRG,A_2,146.0,13.358659099773535
GW@RHF,SR-GW,A_1,90.0,14.7247308088
GW@RHF,SR-GW,A_1,94.0,14.4660878974
GW@RHF,SR-GW,A_1,98.0,14.226277838199998
GW@RHF,SR-GW,A_1,102.0,14.001328577
GW@RHF,SR-GW,A_1,106.0,13.7876749032
GW@RHF,SR-GW,A_1,110.0,13.5822957021
GW@RHF,SR-GW,A_1,114.0,13.3826891498
GW@RHF,SR-GW,A_1,118.0,13.1867818648
GW@RHF,SR-GW,A_1,122.0,12.992830795
GW@RHF,SR-GW,A_1,126.0,12.7993555786
GW@RHF,SR-GW,A_1,130.0,12.605122425
GW@RHF,SR-GW,A_1,134.0,12.4091874555
GW@RHF,SR-GW,A_1,138.0,12.2109975055
GW@RHF,SR-GW,A_1,142.0,12.0105364191
GW@RHF,SR-GW,A_1,146.0,11.8085771253
GW@RHF,SR-GW,B_2,90.0,11.6377181178
GW@RHF,SR-GW,B_2,94.0,12.0848920819
GW@RHF,SR-GW,B_2,98.0,12.4582911861
GW@RHF,SR-GW,B_2,102.0,12.7707907389
GW@RHF,SR-GW,B_2,106.0,13.0328472092
GW@RHF,SR-GW,B_2,110.0,13.2529754768
GW@RHF,SR-GW,B_2,114.0,13.4381451197
GW@RHF,SR-GW,B_2,118.0,13.5940926231
GW@RHF,SR-GW,B_2,122.0,13.725557638
GW@RHF,SR-GW,B_2,126.0,13.836459104999998
GW@RHF,SR-GW,B_2,130.0,13.9300314161
GW@RHF,SR-GW,B_2,134.0,14.0089377238
GW@RHF,SR-GW,B_2,138.0,14.0753710812
GW@RHF,SR-GW,B_2,142.0,14.1311659367
GW@RHF,SR-GW,B_2,146.0,14.1777496165
GW@RHF,SR-GW,A_2,90.0,12.552893664
GW@RHF,SR-GW,A_2,94.0,12.6989750573
GW@RHF,SR-GW,A_2,98.0,12.8241969147
GW@RHF,SR-GW,A_2,102.0,12.930859583
GW@RHF,SR-GW,A_2,106.0,13.0211759923
GW@RHF,SR-GW,A_2,110.0,13.0972305871
GW@RHF,SR-GW,A_2,114.0,13.1609486085
GW@RHF,SR-GW,A_2,118.0,13.2140653157
GW@RHF,SR-GW,A_2,122.0,13.2580954857
GW@RHF,SR-GW,A_2,126.0,13.2943112383
GW@RHF,SR-GW,A_2,130.0,13.3237372911
GW@RHF,SR-GW,A_2,134.0,13.3471678963
GW@RHF,SR-GW,A_2,138.0,13.3652016428
GW@RHF,SR-GW,A_2,142.0,13.3782743794
GW@RHF,SR-GW,A_2,146.0,13.3867709628
ADC(2),ADC(2),A_1,90.0,11.810685302585831
ADC(2),ADC(2),A_1,94.0,11.643351925099111
ADC(2),ADC(2),A_1,98.0,11.475481569000767
ADC(2),ADC(2),A_1,102.0,11.307970101154481
ADC(2),ADC(2),A_1,106.0,11.140920249985612
ADC(2),ADC(2),A_1,110.0,10.974090568863996
ADC(2),ADC(2),A_1,114.0,10.807112074113281
ADC(2),ADC(2),A_1,118.0,10.639573008479065
ADC(2),ADC(2),A_1,122.0,10.471043682403417
ADC(2),ADC(2),A_1,126.0,10.301090395370071
ADC(2),ADC(2),A_1,130.0,10.129312544071851
ADC(2),ADC(2),A_1,134.0,9.955418485034391
ADC(2),ADC(2),A_1,138.0,9.779343427947039
ADC(2),ADC(2),A_1,142.0,9.601385100750125
ADC(2),ADC(2),A_1,146.0,9.422491597120956
ADC(2),ADC(2),B_2,90.0,9.267646882630693
ADC(2),ADC(2),B_2,94.0,9.645891263127277
ADC(2),ADC(2),B_2,98.0,9.954636941367744
ADC(2),ADC(2),B_2,102.0,10.206606671741008
ADC(2),ADC(2),B_2,106.0,10.411956410273035
ADC(2),ADC(2),B_2,110.0,10.578829090827195
ADC(2),ADC(2),B_2,114.0,10.713814943798553
ADC(2),ADC(2),B_2,118.0,10.822309119036465
ADC(2),ADC(2),B_2,122.0,10.908778607774549
ADC(2),ADC(2),B_2,126.0,10.97696174563008
ADC(2),ADC(2),B_2,130.0,11.030027211454966
ADC(2),ADC(2),B_2,134.0,11.070713627189473
ADC(2),ADC(2),B_2,138.0,11.10145778335648
ADC(2),ADC(2),B_2,142.0,11.124497840964969
ADC(2),ADC(2),B_2,146.0,11.141960530397242
ADC(2),ADC(2),A_2,90.0,12.359659319128776
ADC(2),ADC(2),A_2,94.0,12.531402244612748
ADC(2),ADC(2),A_2,98.0,12.673771931732201
ADC(2),ADC(2),A_2,102.0,12.790291084916383
ADC(2),ADC(2),A_2,106.0,12.884184335069602
ADC(2),ADC(2),A_2,110.0,12.9583619916525
ADC(2),ADC(2),A_2,114.0,13.015413628958314
ADC(2),ADC(2),A_2,118.0,13.057606135056485
